username,mal_id,score
3pretentious5u,7593,1
3pretentious5u,16782,1
3pretentious5u,9756,1
3pretentious5u,11981,1
3pretentious5u,512,6
3pretentious5u,10620,1
3pretentious5u,2246,6
3pretentious5u,164,6
3pretentious5u,19,6
3pretentious5u,457,6
3pretentious5u,21329,6
3pretentious5u,21939,6
3pretentious5u,24701,6
3pretentious5u,24687,6
3pretentious5u,28957,6
3pretentious5u,877,6
3pretentious5u,30,6
3pretentious5u,32,6
3pretentious5u,1210,6
3pretentious5u,19815,1
3pretentious5u,20507,1
3pretentious5u,12355,6
3pretentious5u,2966,6
3pretentious5u,5341,6
3pretentious5u,6007,1
3pretentious5u,437,6
3pretentious5u,22135,6
3pretentious5u,19315,1
3pretentious5u,44,6
3pretentious5u,13759,6
3pretentious5u,2476,1
3pretentious5u,199,6
3pretentious5u,1033,6
3pretentious5u,339,6
3pretentious5u,23273,1
3pretentious5u,16498,1
3pretentious5u,25777,1
3pretentious5u,16608,1
3pretentious5u,9253,6
3pretentious5u,11757,1
3pretentious5u,21881,1
3pretentious5u,2001,6
3pretentious5u,513,6
3pretentious5u,885,1
3pretentious5u,2236,1
3pretentious5u,523,6
3pretentious5u,949,6
3pretentious5u,4224,6
3pretentious5u,5365,1
3pretentious5u,10162,6
3pretentious5u,338,6
3pretentious5u,18245,6
3pretentious5u,7785,6
3pretentious5u,8985,1
4LU_,33337,8
4LU_,1292,8
4LU_,22199,6
4LU_,25013,7
4LU_,47,8
4LU_,6547,7
4LU_,1205,8
4LU_,3401,8
4LU_,5081,8
4LU_,288,6
4LU_,22789,8
4LU_,1049,8
4LU_,28999,6
4LU_,10029,8
4LU_,1,10
4LU_,17205,6
4LU_,5,8
4LU_,4037,8
4LU_,17121,7
4LU_,1535,8
4LU_,28223,6
4LU_,223,7
4LU_,813,7
